OfferID,Title,Slug,Area,Rooms,Date,Location,Price
7965722,3 Camere Arcul de Triumf | Parcare Subterana,3-camere-arcul-de-triumf-parcare-subterana-IDxqfo,108.0,THREE,2023-09-19 15:08:10,Domenii| Sectorul 1| Bucuresti,1550
7965716,Apartament 2 camere Baba Novac,apartament-2-camere-baba-novac-IDxqfi,56.0,TWO,2023-09-19 15:06:37,Titan| Sectorul 3| Bucuresti,500
7965713,Închiriere apartament 2 camere Bd. Mihail Kogălniceanu Sector 5,nchiriere-apartament-2-camere-bd-mihail-koglniceanu-sector-5-IDxqff,43.0,TWO,2023-09-19 15:06:00,Centrul Civic| Sectorul 5| Bucuresti,450
7965705,2 cam SEBASTIAN parc - 13 Septembrie,2-cam-sebastian-parc-13-septembrie-IDxqf7,60.0,TWO,2023-09-19 15:04:14,Rahova| Sectorul 5| Bucuresti,380
7965699,De inchiriat apartament 2 camere Calea Dorobanti 110,de-inchiriat-apartament-2-camere-calea-dorobanti-110-IDxqf1,46.0,TWO,2023-09-19 15:03:28,Dorobanti| Sectorul 1| Bucuresti,699
7965697,Garsoniera Aleea Dreptatii nr 5 Renovata aproape Lujerului,garsoniera-aleea-dreptatii-nr-5-renovata-aproape-lujerului-IDxqeZ,42.0,ONE,2023-09-19 15:02:56,Militari| Sectorul 6| Bucuresti,350
7965691,Ap 2 camere | Dr. Taberei | Prelungirea Ghencea | Metrou Raul Doamnei,ap-2-camere-dr-taberei-prelungirea-ghencea-metrou-raul-doamnei-IDxqeT,61.0,TWO,2023-09-19 15:01:52,Drumul Taberei| Sectorul 6| Bucuresti,500
7965684,2 CAMERE | EMINESCU | MODERN,2-camere-eminescu-modern-IDxqeM,60.0,TWO,2023-09-19 14:59:36,Eminescu| Sectorul 2| Bucuresti,600
7965683,Inchiriere 3 camere Matei Basarab,inchiriere-3-camere-matei-basarab-IDxqeL,85.0,THREE,2023-09-19 14:59:25,Cismigiu| Sectorul 1| Bucuresti,600
7965679,Apartament 2 Camere | Drumul Taberei | Zona Favorit,apartament-2-camere-drumul-taberei-zona-favorit-IDxqeH,48.0,TWO,2023-09-19 14:57:51,Militari| Sectorul 6| Bucuresti,350
5961324,Inchiriere apartament 2 camere - Lujerului (langa plaza mall),inchiriere-apartament-2-camere-lujerului-langa-plaza-mall-IDp0Oo,56.0,TWO,2023-09-19 14:57:17,Militari| Sectorul 6| Bucuresti,620
7965675,Apartament Floreasca,apartament-floreasca-IDxqeD,40.0,TWO,2023-09-19 14:57:14,Floreasca| Sectorul 2| Bucuresti,550
7965674,Apartament 2 camere | Belvedere | Incalzire in pardoseala,apartament-2-camere-belvedere-incalzire-in-pardoseala-IDxqeC,50.0,TWO,2023-09-19 14:56:50,Pipera| Sectorul 2| Bucuresti,660
7965669,Dristor | Garsoniera | Mobilata | Utilata | 10 min metrou,dristor-garsoniera-mobilata-utilata-10-min-metrou-IDxqex,42.0,ONE,2023-09-19 14:55:17,Decebal| Sectorul 3| Bucuresti,300
6197578,proprietar inchiriez garsoniera in sector 4,proprietar-inchiriez-garsoniera-in-sector-4-IDq0gV,30.0,ONE,2023-09-19 14:47:02,Berceni| Sectorul 4| Bucuresti,240
7965617,Anunturi diverse,anunturi-diverse-IDxqdH,60.0,THREE,2023-09-19 14:45:01,Titan| Sectorul 3| Bucuresti,1500
7965611,Apartament modern cu 3 camere si vedere spre lac,apartament-modern-cu-3-camere-si-vedere-spre-lac-IDxqdB,140.0,THREE,2023-09-19 14:43:42,Tei| Sectorul 2| Bucuresti,2500
7965608,"Închiriere garsonieră cu parcare, Parklake Mall - Dristor",nchiriere-garsonier-cu-parcare-parklake-mall-dristor-IDxqdy,32.0,ONE,2023-09-19 14:42:36,Titan| Sectorul 3| Bucuresti,300
7965606,Apartament 2 camere | Belvedere | Parcare subterana | PET Friendly,apartament-2-camere-belvedere-parcare-subterana-pet-friendly-IDxqdv,50.0,TWO,2023-09-19 14:42:35,Pipera| Sectorul 2| Bucuresti,700
7965556,Drumul Taberei Scoala Sf Andrei!,drumul-taberei-scoala-sf-andrei-IDxqcI,65.0,THREE,2023-09-19 14:34:39,Drumul Taberei| Sectorul 6| Bucuresti,600
7965542,"Apartament generos cu 3 camere, 2 bai | garaj |  terasa",apartament-generos-cu-3-camere-2-bai-garaj-terasa-IDxqcu,118.0,THREE,2023-09-19 14:31:21,Baneasa| Sectorul 1| Bucuresti,1900
7965533,Garsoniera open space Quadra2 de închiriat,garsoniera-open-space-quadra2-de-nchiriat-IDxqcl,30.0,ONE,2023-09-19 14:30:38,Militari| Sectorul 6| Bucuresti,330
7965434,Barbu Vacarescu/Aviatiei/Belvedere Residence cu loc de parcare,barbu-vacarescu-aviatiei-belvedere-residence-cu-loc-de-parcare-IDxqaK,50.0,TWO,2023-09-19 14:30:35,Pipera| Sectorul 2| Bucuresti,700
7965525,Garsoniera de inchiriat,garsoniera-de-inchiriat-IDxqcd,40.0,ONE,2023-09-19 14:28:41,Militari| Sectorul 6| Bucuresti,370
7965516,"Garsoniera LUX, in zona Piata Romana",garsoniera-lux-in-zona-piata-romana-IDxqc4,38.0,ONE,2023-09-19 14:26:07,Piata Romana| Sectorul 1| Bucuresti,420
7965505,Apartament 2 camere bloc nou Exigent Plaza Residence Centrala Lujerulu,apartament-2-camere-bloc-nou-exigent-plaza-residence-centrala-lujerulu-IDxqbT,65.0,TWO,2023-09-19 14:24:22,Militari| Sectorul 6| Bucuresti,600
7965501,"Inchiriere apartament 2 camere, Camil Ressu, zona parc IOR",inchiriere-apartament-2-camere-camil-ressu-zona-parc-ior-IDxqbP,50.0,TWO,2023-09-19 14:23:46,Titan| Sectorul 3| Bucuresti,420
7965497,Apartament de inchiriat 2 camere,apartament-de-inchiriat-2-camere-IDxqbL,55.0,TWO,2023-09-19 14:23:11,Berceni| Sectorul 4| Bucuresti,400
4514647,2 camere / 60 mp / Modern - Drumul Taberei (Proprietar),2-camere-60-mp-modern-drumul-taberei-proprietar-IDiVsT,60.0,TWO,2023-09-19 14:21:35,Militari| Sectorul 6| Bucuresti,550
7965493,Garsoniera | Berceni - Brancoveanu | AC | Balcon | Boiler,garsoniera-berceni-brancoveanu-ac-balcon-boiler-IDxqbH,30.0,ONE,2023-09-19 14:21:30,Berceni| Sectorul 4| Bucuresti,330
7965490,"Barbu Vacarescu, bloc nou, parcare, Hotel Caro",barbu-vacarescu-bloc-nou-parcare-hotel-caro-IDxqbE,93.0,TWO,2023-09-19 14:21:05,Pipera| Sectorul 2| Bucuresti,750
7965488,Închiriez garsoniera Pantelimon ( langa parcul Morarilor ),nchiriez-garsoniera-pantelimon-langa-parcul-morarilor-IDxqbC,24.0,ONE,2023-09-19 14:20:51,Sectorul 2| Bucuresti,1150
7406519,NOU! Apartament 3 Camere Baneasa | Complex The Ivy,nou-apartament-3-camere-baneasa-complex-the-ivy-IDw4LZ,83.0,THREE,2023-09-19 14:20:03,Baneasa| Sectorul 1| Bucuresti,1000
7965477,Obor | Garsoniera | Mobilat | Utilat | 10 min metrou,obor-garsoniera-mobilat-utilat-10-min-metrou-IDxqbr,28.0,ONE,2023-09-19 14:18:27,Mosilor| Sectorul 2| Bucuresti,350
7965467,Garsoniera de inchiriat zona Libertatii,garsoniera-de-inchiriat-zona-libertatii-IDxqbh,40.0,ONE,2023-09-19 14:15:55,Centrul Civic| Sectorul 5| Bucuresti,700
7965449,Ap 3 Cam | Unirii - Ultracentral | 5 min metrou,ap-3-cam-unirii-ultracentral-5-min-metrou-IDxqaZ,88.0,THREE,2023-09-19 14:13:16,Centrul Civic| Sectorul 3| Bucuresti,650
7965444,4 Camere Soseaua Nordului Herastrau Aviatiei Parcare Terasa,4-camere-soseaua-nordului-herastrau-aviatiei-parcare-terasa-IDxqaU,156.0,FOUR,2023-09-19 14:12:43,Herastrau| Sectorul 1| Bucuresti,2000
7965442,Unirii | Biblioteca Nationala | 2 Camere | Centrala Proprie | Nemobila,unirii-biblioteca-nationala-2-camere-centrala-proprie-nemobila-IDxqaS,69.0,TWO,2023-09-19 14:12:11,Centrul Civic| Sectorul 3| Bucuresti,900
7965403,Inchiriez apartament 2 camere Bucuresti-Vitan,inchiriez-apartament-2-camere-bucuresti-vitan-IDxqaf,55.0,TWO,2023-09-19 14:07:23,Vitan| Sectorul 3| Bucuresti,350
7965400,DECEBAL - 2 CAMERE / LUX / PRIMA INCHIRIERE / BALCON,decebal-2-camere-lux-prima-inchiriere-balcon-IDxqac,75.0,TWO,2023-09-19 14:07:21,Centrul Civic| Sectorul 3| Bucuresti,1200
7965385,Berceni Grand Arena Metalurgiei Metrou Dimitrie Leonida Nou Lux Terasa,berceni-grand-arena-metalurgiei-metrou-dimitrie-leonida-nou-lux-terasa-IDxq9X,70.0,TWO,2023-09-19 14:01:35,IMGB| Sectorul 4| Bucuresti,550
7965364,Berceni 3` Metrou Eroii Revolutiei Parc Carol Tineretului Renovat,berceni-3-metrou-eroii-revolutiei-parc-carol-tineretului-renovat-IDxq9C,60.0,TWO,2023-09-19 13:56:51,Sectorul 4| Bucuresti,450
7965341,Unirii | Centrul Vechi | Lux | Metrou,unirii-centrul-vechi-lux-metrou-IDxq9f,46.0,TWO,2023-09-19 13:50:40,Centrul Istoric| Sectorul 3| Bucuresti,1000
7965316,Bercenu - Brancoveanu | 2 camere | Mobilat | Utilat,bercenu-brancoveanu-2-camere-mobilat-utilat-IDxq8Q,41.0,TWO,2023-09-19 13:42:04,Berceni| Sectorul 4| Bucuresti,350
7965305,Baneasa - Cartier Henri Coanda  | 2 Camere |  Centrala | Balcon | Parc,baneasa-cartier-henri-coanda-2-camere-centrala-balcon-parc-IDxq8F,78.0,TWO,2023-09-19 13:39:18,Henri Coanda| Sectorul 1| Bucuresti,600
7965295,"Gorjului, apartament 3 camere decomandat",gorjului-apartament-3-camere-decomandat-IDxq8w,75.0,THREE,2023-09-19 13:37:05,Militari| Sectorul 6| Bucuresti,390
7965259,Baneasa - Sisesti | Pipera | Aviatiei | Escape Residence | Bloc 2023 |,baneasa-sisesti-pipera-aviatiei-escape-residence-bloc-2023-IDxq7W,70.0,THREE,2023-09-19 13:32:45,Damaroaia| Sectorul 1| Bucuresti,750
7965256,Apartament 2 camere Dristor Ramnicu Sarat Park Lake,apartament-2-camere-dristor-ramnicu-sarat-park-lake-IDxq7S,59.0,TWO,2023-09-19 13:32:09,Titan| Sectorul 3| Bucuresti,450
7965247,2 CAMERE - CISMIGIU / PARCARE / METROU / AC / BALCON,2-camere-cismigiu-parcare-metrou-ac-balcon-IDxq7J,75.0,TWO,2023-09-19 13:31:03,Cismigiu| Sectorul 1| Bucuresti,785
7965242,Apartament 2 camere  Piata Muncii,apartament-2-camere-piata-muncii-IDxq7E,57.0,TWO,2023-09-19 13:30:39,Decebal| Sectorul 3| Bucuresti,570
7965239,Apartament cu 2 camere in Rose Garden Colentina,apartament-cu-2-camere-in-rose-garden-colentina-IDxq7B,62.0,TWO,2023-09-19 13:30:15,Tei| Sectorul 2| Bucuresti,600
7965223,Garsoniera  Complex 21 Residence,garsoniera-complex-21-residence-IDxq7l,37.0,ONE,2023-09-19 13:26:34,Militari| Sectorul 6| Bucuresti,450
7965216,2 Camere | Militari - Lujerului | METROU |  AC,2-camere-militari-lujerului-metrou-ac-IDxq7e,45.0,TWO,2023-09-19 13:25:21,Militari| Sectorul 6| Bucuresti,450
7965209,Garsoniera Moghioros Residence,garsoniera-moghioros-residence-IDxq77,43.0,ONE,2023-09-19 13:24:21,Cismigiu| Sectorul 1| Bucuresti,420
7965206,Închiriez apartament 2 camere,nchiriez-apartament-2-camere-IDxq74,60.0,TWO,2023-09-19 13:24:19,Berceni| Sectorul 4| Bucuresti,400
7965202,2 camere Colentina | Complet mobilat si utilat | Loc parcare,2-camere-colentina-complet-mobilat-si-utilat-loc-parcare-IDxq70,53.0,TWO,2023-09-19 13:23:30,Sectorul 2| Bucuresti,400
7965199,Pipera |Belvedere Residence | Apartament 2 Camere | Centrala Propie |,pipera-belvedere-residence-apartament-2-camere-centrala-propie-IDxq6X,50.0,TWO,2023-09-19 13:22:54,Pipera| Sectorul 2| Bucuresti,660
7965192,Drumul Taberei Moghioros Residence Totul Nou,drumul-taberei-moghioros-residence-totul-nou-IDxq6Q,60.0,TWO,2023-09-19 13:21:24,Drumul Taberei| Sectorul 6| Bucuresti,600
7965191,Apartament 3 Camere| Calea Calarasilor | Centrala | Balcon,apartament-3-camere-calea-calarasilor-centrala-balcon-IDxq6P,78.0,THREE,2023-09-19 13:21:11,Centrul Civic| Sectorul 3| Bucuresti,500
7965175,Tineretului | 2 Camere | Centrala | Parcare | Mobilat/Utilat Modern,tineretului-2-camere-centrala-parcare-mobilat-utilat-modern-IDxq6z,60.0,TWO,2023-09-19 13:17:12,Carol| Sectorul 4| Bucuresti,650
7965164,Titan 7` Metrou Nicolae Grigorescu Camil Ressu Parc IOR Renovat,titan-7-metrou-nicolae-grigorescu-camil-ressu-parc-ior-renovat-IDxq6o,60.0,TWO,2023-09-19 13:14:34,Titan| Sectorul 3| Bucuresti,450
7965163,Apartament 2 camere decomandat in Rotar Park 2 - Militari,apartament-2-camere-decomandat-in-rotar-park-2-militari-IDxq6n,55.0,TWO,2023-09-19 13:14:23,Militari| Sectorul 6| Bucuresti,400
7965161,Unirii | Corneliu Coposu | 3 Camere | Metrou | Izolat Fonic | Curat |,unirii-corneliu-coposu-3-camere-metrou-izolat-fonic-curat-IDxq6l,88.0,THREE,2023-09-19 13:13:49,Centrul Civic| Sectorul 3| Bucuresti,650
7965146,"Tineretului, apartament 3 camere decomandat Renovat Nou",tineretului-apartament-3-camere-decomandat-renovat-nou-IDxq66,80.0,THREE,2023-09-19 13:10:38,Berceni| Sectorul 4| Bucuresti,800
7965143,"AP. 3 CAMERE SALAJAN,  CURAT, BUCATARIE INCHISA, MUTARE IMEDIATA",ap-3-camere-salajan-curat-bucatarie-inchisa-mutare-imediata-IDxq63,60.0,THREE,2023-09-19 13:09:21,Titan| Sectorul 3| Bucuresti,500
7947180,Închiriez Garsonieră,nchiriez-garsonier-IDxlqk,44.0,ONE,2023-09-19 13:07:17,Cartierul Evreiesc| Sectorul 3| Bucuresti,370
7965130,Tineretului 5` Metrou Parc Carol Piata Unirii Cantemir Nou Centrala,tineretului-5-metrou-parc-carol-piata-unirii-cantemir-nou-centrala-IDxq5Q,60.0,TWO,2023-09-19 13:07:10,Carol| Sectorul 4| Bucuresti,650
7965127,AP 2 CAMERE | TINERETULUI | CENTRALA | PET FRIENDLY | 7MIN METROU,ap-2-camere-tineretului-centrala-pet-friendly-7min-metrou-IDxq5N,60.0,TWO,2023-09-19 13:06:27,Carol| Sectorul 4| Bucuresti,650
7965111,Prelungirea Ghencea | 2 camere | Mobilat | Utilat,prelungirea-ghencea-2-camere-mobilat-utilat-IDxq5x,45.0,TWO,2023-09-19 13:04:16,Brancusi| Sectorul 6| Bucuresti,300
7965101,Aviatiei | 3 Camere | Promenada Mall | Metrou Aurel Vlaicu,aviatiei-3-camere-promenada-mall-metrou-aurel-vlaicu-IDxq5n,70.0,THREE,2023-09-19 13:03:37,Pipera| Sectorul 2| Bucuresti,590
7965100,Apartament 3 camere Aviatiei- inchiriere,apartament-3-camere-aviatiei-inchiriere-IDxq5m,70.0,THREE,2023-09-19 13:03:25,Baneasa| Sectorul 1| Bucuresti,650
